id;nome;cpf;produto;valor
65982;João Silva;000.000.000-h0;Tomate;1560.45
65983;Maria Oliveira;111.111.111-11;Batata;320.75
65984;Carlos Pereira;222.222.222-22;Cenoura;890.10
65985;Ana Costa;333.333.333-33;Alface;220.50
65986;Paulo Santos;444.444.444-f4;Pepino;730.25
65987;Mariana Almeida;555.555.555-55;Cebola;480.00
65988;Rafael Gomes;666.666.666-66;Pimentão;650.75
65989;Juliana Souza;777.777.777-77;Abóbora;300.15
65990;Fernando Lima;888.888.888-88;Berinjela;760.30
65991;Beatriz Ribeiro;999.999.999-g9;Alho;550.45
